Day,Ethereum
2021-01-01,18
2021-01-02,22
2021-01-03,45
2021-01-04,52
2021-01-05,38
2021-01-06,43
2021-01-07,51
2021-01-08,48
2021-01-09,40
2021-01-10,44
2021-01-11,46
2021-01-12,34
2021-01-13,29
2021-01-14,32
2021-01-15,29
2021-01-16,25
2021-01-17,25
2021-01-18,25
2021-01-19,43
2021-01-20,34
2021-01-21,32
2021-01-22,31
2021-01-23,23
2021-01-24,29
2021-01-25,37
2021-01-26,27
2021-01-27,28
2021-01-28,27
2021-01-29,36
2021-01-30,27
2021-01-31,28
2021-02-01,25
2021-02-02,37
2021-02-03,48
2021-02-04,46
2021-02-05,40
2021-02-06,42
2021-02-07,41
2021-02-08,46
2021-02-09,51
2021-02-10,43
2021-02-11,39
2021-02-12,40
2021-02-13,37
2021-02-14,35
2021-02-15,33
2021-02-16,36
2021-02-17,38
2021-02-18,42
2021-02-19,43
2021-02-20,53
2021-02-21,42
2021-02-22,46
2021-02-23,51
2021-02-24,41
2021-02-25,34
2021-02-26,34
2021-02-27,30
2021-02-28,33
2021-03-01,31
2021-03-02,28
2021-03-03,29
2021-03-04,24
2021-03-05,24
2021-03-06,24
2021-03-07,28
2021-03-08,30
2021-03-09,33
2021-03-10,28
2021-03-11,29
2021-03-12,26
2021-03-13,33
2021-03-14,34
2021-03-15,27
2021-03-16,27
2021-03-17,25
2021-03-18,25
2021-03-19,26
2021-03-20,25
2021-03-21,24
2021-03-22,24
2021-03-23,25
2021-03-24,23
2021-03-25,24
2021-03-26,23
2021-03-27,20
2021-03-28,20
2021-03-29,22
2021-03-30,25
2021-03-31,24
2021-04-01,28
2021-04-02,41
2021-04-03,38
2021-04-04,31
2021-04-05,32
2021-04-06,31
2021-04-07,28
2021-04-08,25
2021-04-09,24
2021-04-10,29
2021-04-11,30
2021-04-12,27
2021-04-13,35
2021-04-14,42
2021-04-15,44
2021-04-16,43
2021-04-17,35
2021-04-18,42
2021-04-19,36
2021-04-20,35
2021-04-21,34
2021-04-22,45
2021-04-23,41
2021-04-24,32
2021-04-25,29
2021-04-26,35
2021-04-27,37
2021-04-28,41
2021-04-29,39
2021-04-30,39
2021-05-01,45
2021-05-02,46
2021-05-03,79
2021-05-04,83
2021-05-05,69
2021-05-06,64
2021-05-07,54
2021-05-08,63
2021-05-09,76
2021-05-10,94
2021-05-11,70
2021-05-12,76
2021-05-13,87
2021-05-14,66
2021-05-15,56
2021-05-16,57
2021-05-17,65
2021-05-18,50
2021-05-19,100
2021-05-20,75
2021-05-21,61
2021-05-22,56
2021-05-23,70
2021-05-24,67
2021-05-25,54
2021-05-26,52
2021-05-27,45
2021-05-28,47
2021-05-29,43
2021-05-30,40
2021-05-31,38
2021-06-01,38
2021-06-02,36
2021-06-03,34
2021-06-04,34
2021-06-05,31
2021-06-06,33
2021-06-07,33
2021-06-08,36
2021-06-09,33
2021-06-10,28
2021-06-11,27
2021-06-12,28
2021-06-13,25
2021-06-14,28
2021-06-15,26
2021-06-16,25
2021-06-17,23
2021-06-18,25
2021-06-19,22
2021-06-20,25
2021-06-21,37
2021-06-22,39
2021-06-23,29
2021-06-24,25
2021-06-25,28
2021-06-26,24
2021-06-27,26
2021-06-28,30
2021-06-29,28
2021-06-30,24
2021-07-01,23
2021-07-02,20
2021-07-03,23
2021-07-04,26
2021-07-05,22
2021-07-06,25
2021-07-07,24
2021-07-08,26
2021-07-09,24
2021-07-10,21
2021-07-11,19
2021-07-12,21
2021-07-13,22
2021-07-14,26
2021-07-15,22
2021-07-16,22
2021-07-17,19
2021-07-18,19
2021-07-19,21
2021-07-20,26
2021-07-21,23
2021-07-22,26
2021-07-23,22
2021-07-24,23
2021-07-25,23
2021-07-26,34
2021-07-27,24
2021-07-28,25
2021-07-29,22
2021-07-30,24
2021-07-31,27
2021-08-01,30
2021-08-02,29
2021-08-03,29
2021-08-04,33
2021-08-05,39
2021-08-06,39
2021-08-07,47
2021-08-08,41
2021-08-09,40
2021-08-10,35
2021-08-11,37
2021-08-12,33
2021-08-13,34
2021-08-14,31
2021-08-15,29
2021-08-16,33
2021-08-17,29
2021-08-18,29
2021-08-19,26
2021-08-20,31
2021-08-21,26
2021-08-22,28
2021-08-23,33
2021-08-24,29
2021-08-25,26
2021-08-26,24
2021-08-27,25
2021-08-28,25
2021-08-29,26
2021-08-30,27
2021-08-31,30
