Day,Tesla
2021-01-01,53
2021-01-02,56
2021-01-03,60
2021-01-04,51
2021-01-05,44
2021-01-06,45
2021-01-07,47
2021-01-08,63
2021-01-09,70
2021-01-10,70
2021-01-11,51
2021-01-12,55
2021-01-13,58
2021-01-14,63
2021-01-15,65
2021-01-16,61
2021-01-17,64
2021-01-18,50
2021-01-19,49
2021-01-20,47
2021-01-21,54
2021-01-22,54
2021-01-23,63
2021-01-24,60
2021-01-25,50
2021-01-26,44
2021-01-27,55
2021-01-28,100
2021-01-29,77
2021-01-30,73
2021-01-31,70
2021-02-01,55
2021-02-02,49
2021-02-03,44
2021-02-04,48
2021-02-05,50
2021-02-06,59
2021-02-07,58
2021-02-08,51
2021-02-09,50
2021-02-10,43
2021-02-11,46
2021-02-12,58
2021-02-13,63
2021-02-14,60
2021-02-15,46
2021-02-16,49
2021-02-17,47
2021-02-18,55
2021-02-19,56
2021-02-20,59
2021-02-21,66
2021-02-22,53
2021-02-23,49
2021-02-24,47
2021-02-25,45
2021-02-26,46
2021-02-27,55
2021-02-28,55
2021-03-01,46
2021-03-02,45
2021-03-03,43
2021-03-04,47
2021-03-05,51
2021-03-06,65
2021-03-07,54
2021-03-08,53
2021-03-09,45
2021-03-10,41
2021-03-11,47
2021-03-12,50
2021-03-13,59
2021-03-14,59
2021-03-15,43
2021-03-16,44
2021-03-17,43
2021-03-18,47
2021-03-19,45
2021-03-20,60
2021-03-21,62
2021-03-22,41
2021-03-23,40
2021-03-24,52
2021-03-25,44
2021-03-26,43
2021-03-27,60
2021-03-28,58
2021-03-29,42
2021-03-30,43
2021-03-31,40
2021-04-01,46
2021-04-02,58
2021-04-03,59
2021-04-04,64
2021-04-05,54
2021-04-06,45
2021-04-07,43
2021-04-08,48
2021-04-09,46
2021-04-10,53
2021-04-11,58
2021-04-12,48
2021-04-13,47
2021-04-14,43
2021-04-15,47
2021-04-16,52
2021-04-17,61
2021-04-18,57
2021-04-19,55
2021-04-20,50
2021-04-21,43
2021-04-22,48
2021-04-23,52
2021-04-24,53
2021-04-25,59
2021-04-26,43
2021-04-27,52
2021-04-28,43
2021-04-29,49
2021-04-30,50
2021-05-01,53
2021-05-02,56
2021-05-03,51
2021-05-04,44
2021-05-05,45
2021-05-06,47
2021-05-07,46
2021-05-08,57
2021-05-09,57
2021-05-10,49
2021-05-11,46
2021-05-12,58
2021-05-13,54
2021-05-14,56
2021-05-15,56
2021-05-16,55
2021-05-17,42
2021-05-18,47
2021-05-19,44
2021-05-20,54
2021-05-21,56
2021-05-22,64
2021-05-23,56
2021-05-24,51
2021-05-25,52
2021-05-26,44
2021-05-27,48
2021-05-28,54
2021-05-29,58
2021-05-30,59
2021-05-31,51
2021-06-01,55
2021-06-02,50
2021-06-03,46
2021-06-04,48
2021-06-05,54
2021-06-06,64
2021-06-07,49
2021-06-08,44
2021-06-09,47
2021-06-10,49
2021-06-11,70
2021-06-12,71
2021-06-13,69
2021-06-14,50
2021-06-15,47
2021-06-16,45
2021-06-17,48
2021-06-18,55
2021-06-19,56
2021-06-20,64
2021-06-21,52
2021-06-22,42
2021-06-23,40
2021-06-24,47
2021-06-25,48
2021-06-26,65
2021-06-27,67
2021-06-28,47
2021-06-29,48
2021-06-30,42
2021-07-01,47
2021-07-02,55
2021-07-03,63
2021-07-04,62
2021-07-05,48
2021-07-06,50
2021-07-07,48
2021-07-08,45
2021-07-09,57
2021-07-10,67
2021-07-11,59
2021-07-12,50
2021-07-13,54
2021-07-14,50
2021-07-15,50
2021-07-16,49
2021-07-17,65
2021-07-18,61
2021-07-19,51
2021-07-20,49
2021-07-21,52
2021-07-22,54
2021-07-23,54
2021-07-24,64
2021-07-25,63
2021-07-26,59
2021-07-27,61
2021-07-28,51
2021-07-29,56
2021-07-30,57
2021-07-31,62
2021-08-01,63
2021-08-02,47
2021-08-03,55
2021-08-04,50
2021-08-05,51
2021-08-06,53
2021-08-07,62
2021-08-08,64
2021-08-09,50
2021-08-10,48
2021-08-11,50
2021-08-12,51
2021-08-13,46
2021-08-14,57
2021-08-15,56
2021-08-16,48
2021-08-17,55
2021-08-18,62
2021-08-19,55
2021-08-20,54
2021-08-21,59
2021-08-22,67
2021-08-23,53
2021-08-24,65
2021-08-25,50
2021-08-26,50
2021-08-27,53
2021-08-28,57
2021-08-29,59
2021-08-30,51
2021-08-31,47
